State,ST,Region,2021YTD,2020,2019,2018,2017,2016,2015
Alabama,AL,Southern,0.176,0.276,0.158,0.137,0.141,0.133,0.136
Arizona,AZ,,0.302,0.466,0.229,0.1,0.095,0.094,0.076
Arkansas,AR,Central,0.209,0.267,0.145,0.129,0.138,0.126,0.132
California,CA,,0.491,0.612,0.501,0.387,0.39,0.41,0.388
Colorado,CO,,0.256,0.478,0.187,0.157,0.175,0.177,0.153
Connecticut,CT,Northeast,0.294,0.45,0.321,0.272,0.26,0.248,0.257
Delaware,DE,Northeast,0.261,0.342,0.13,0.083,0.077,0.05,0.116
District of Columbia,DC,,0.608,0.72,0.531,0.48,0.499,0.459,0.443
Florida,FL,Southern,0.248,0.305,0.178,0.161,0.166,0.148,0.141
Georgia,GA,Southern,0.225,0.298,0.183,0.161,0.154,0.161,0.142
Idaho,ID,,0.241,0.358,0.277,0.174,0.172,0.179,0.126
Illinois,IL,Central,0.336,0.418,0.261,0.197,0.151,0.171,0.181
Indiana,IN,Central,0.217,0.279,0.159,0.168,0.163,0.174,0.199
Iowa,IA,,0.318,0.364,0.203,0.2,0.222,0.223,0.216
Kansas,KS,,0.284,0.342,0.195,0.177,0.189,0.167,0.169
Kentucky,KY,Southern,0.23,0.282,0.196,0.187,0.16,0.161,0.16
Louisiana,LA,Central,0.205,0.323,0.17,0.16,0.166,0.156,0.158
Maine,ME,Northeast,0.318,0.404,0.211,0.208,0.2,0.192,0.193
Maryland,MD,Northeast,0.296,0.422,0.21,0.197,0.204,0.18,0.2
Massachusetts,MA,Northeast,0.33,0.516,0.353,0.283,0.245,0.234,0.238
Michigan,MI,Central,0.326,0.379,0.281,0.258,0.234,0.233,0.224
Minnesota,MN,,0.289,0.402,0.218,0.199,0.206,0.194,0.202
Mississippi,MS,Southern,0.181,0.277,0.152,0.141,0.14,0.132,0.12
Missouri,MO,,0.261,0.317,0.169,0.157,0.166,0.148,0.149
Montana,MT,,0.212,0.369,0.271,0.198,0.207,0.224,0.192
Nebraska,NE,,0.32,0.403,0.231,0.232,0.271,0.279,0.255
Nevada,NV,,0.283,0.466,0.264,0.184,0.187,0.205,0.163
New Hampshire,NH,Northeast,0.328,0.482,0.271,0.236,0.217,0.216,0.227
New Jersey,NJ,Northeast,0.281,0.429,0.259,0.244,0.219,0.212,0.211
New Mexico,NM,,0.241,0.38,0.202,0.201,0.199,0.164,0.155
New York,NY,Northeast,0.451,0.53,0.321,0.243,0.261,0.242,0.272
North Carolina,NC,Southern,0.206,0.311,0.178,0.138,0.151,0.13,0.125
North Dakota,ND,,0.375,0.491,0.353,0.323,0.305,0.283,0.294
Ohio,OH,,0.215,0.265,0.199,0.204,0.174,0.184,0.189
Oklahoma,OK,,0.283,0.323,0.209,0.211,0.204,0.214,0.229
Oregon,OR,,0.472,0.693,0.547,0.4,0.364,0.349,0.32
Pennsylvania,PA,Northeast,0.291,0.422,0.225,0.194,0.202,0.172,0.165
Rhode Island,RI,Northeast,0.245,0.429,0.26,0.243,0.206,0.199,0.189
South Carolina,SC,Southern,0.228,0.317,0.165,0.16,0.147,0.117,0.107
South Dakota,SD,,0.338,0.427,0.297,0.274,0.28,0.269,0.244
Tennessee,TN,Southern,0.254,0.32,0.186,0.16,0.153,0.141,0.138
Texas,TX,Central,0.178,0.248,0.146,0.132,0.139,0.136,0.14
Utah,UT,,0.27,0.375,0.275,0.15,0.169,0.162,0.122
Vermont,VT,Northeast,0.278,0.437,0.308,0.266,0.251,0.239,0.258
Virginia,VA,Northeast,0.281,0.385,0.222,0.199,0.21,0.187,0.185
Washington,WA,,0.443,0.641,0.511,0.353,0.325,0.312,0.293
West Virginia,WV,Northeast,0.293,0.394,0.245,0.219,0.233,0.205,0.224
Wisconsin,WI,Central,0.244,0.31,0.208,0.192,0.187,0.182,0.193
Wyoming,WY,,0.273,0.485,0.364,0.226,0.216,0.215,0.188
USA,US,USA,0.283,0.38,0.24,0.203,0.2,0.194,0.191
