State,Funds Available
Texas,407774759
California,383673792
Florida,198057481
New York,175466514
Pennsylvania,171514120
Illinois,148621459
Ohio,140120116
Georgia,134975283
Michigan,110061712
North Carolina,109024196
Virginia,106376132
New Jersey,104373268
Indiana,99605738
Missouri,98961186
Tennessee,88334969
Alabama,79308285
Wisconsin,78654701
Arizona,76483976
Louisiana,73367735
Washington,70865271
South Carolina,69998769
Kentucky,69455682
Minnesota,68164918
Oklahoma,66296972
Massachusetts,63488497
Maryland,62818576
Colorado,56536754
Arkansas,54121947
Connecticut,52503813
Oregon,52249356
Iowa,51374369
Mississippi,50557563
West Virginia,45683164
Montana,42889962
Kansas,39503201
New Mexico,38387895
Nevada,37958457
Utah,36298604
Nebraska,30214832
Idaho,29899106
South Dakota,29479906
Wyoming,26780026
North Dakota,25952484
Rhode Island,22861459
Vermont,21215761
Maine,19296432
Delaware,17682951
Hawaii,17680364
New Hampshire,17271581
Dist. of Col.,16679459
Puerto Rico,13661153
