State,ST,Region,2022YTD,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Alabama,AL,Southern,0.283,0.189,0.233,0.155,0.174,0.157,0.137,0.142,0.193,0.16,0.177,0.191,0.172,0.122
Arizona,AZ,,0.462,0.282,0.413,0.219,0.12,0.11,0.091,0.114,0.155,0.081,0.097,0.088,0.116,0.063
Arkansas,AR,Central,0.313,0.223,0.237,0.156,0.164,0.146,0.131,0.133,0.174,0.148,0.144,0.175,0.152,0.098
California,CA,,0.777,0.529,0.604,0.525,0.438,0.407,0.408,0.395,0.354,0.285,0.272,0.235,0.234,0.191
Colorado,CO,,0.468,0.393,0.426,0.192,0.221,0.195,0.185,0.213,0.266,0.193,0.168,0.177,0.148,0.143
Connecticut,CT,Northeast,0.405,0.314,0.398,0.325,0.341,0.299,0.244,0.274,0.296,0.238,0.234,0.256,0.203,0.176
Delaware,DE,Northeast,0.274,0.255,0.358,0.125,0.102,0.082,0.058,0.113,0.162,0.139,0.149,0.156,0.142,0.108
District of Columbia,DC,,0.799,0.642,0.689,0.534,0.548,0.528,0.48,0.487,0.501,0.442,0.433,0.412,0.344,0.31
Florida,FL,Southern,0.357,0.262,0.282,0.173,0.187,0.179,0.15,0.149,0.179,0.147,0.15,0.167,0.151,0.123
Georgia,GA,Southern,0.377,0.235,0.268,0.197,0.193,0.183,0.179,0.15,0.166,0.148,0.143,0.147,0.135,0.12
Idaho,ID,,0.502,0.334,0.36,0.298,0.241,0.205,0.201,0.176,0.247,0.217,0.206,0.174,0.15,0.133
Illinois,IL,Central,0.526,0.362,0.391,0.265,0.241,0.172,0.168,0.191,0.179,0.168,0.133,0.142,0.139,0.087
Indiana,IN,Central,0.389,0.235,0.26,0.159,0.173,0.17,0.18,0.192,0.161,0.135,0.098,0.112,0.108,0.075
Iowa,IA,,0.401,0.331,0.355,0.207,0.212,0.231,0.224,0.247,0.283,0.251,0.189,0.214,0.201,0.153
Kansas,KS,,0.389,0.305,0.322,0.207,0.202,0.196,0.177,0.185,0.207,0.182,0.161,0.149,0.151,0.117
Kentucky,KY,Southern,0.383,0.244,0.261,0.203,0.206,0.165,0.162,0.17,0.182,0.162,0.135,0.167,0.166,0.123
Louisiana,LA,Central,0.382,0.229,0.281,0.173,0.196,0.174,0.16,0.175,0.219,0.191,0.201,0.196,0.19,0.155
Maine,ME,Northeast,0.492,0.331,0.38,0.229,0.242,0.216,0.201,0.205,0.232,0.219,0.201,0.216,0.196,0.178
Maryland,MD,Northeast,0.378,0.313,0.434,0.207,0.217,0.214,0.184,0.211,0.23,0.214,0.223,0.212,0.197,0.152
Massachusetts,MA,Northeast,0.543,0.365,0.455,0.362,0.354,0.289,0.23,0.246,0.277,0.229,0.231,0.24,0.198,0.161
Michigan,MI,Central,0.498,0.352,0.356,0.284,0.275,0.238,0.236,0.231,0.253,0.219,0.199,0.191,0.174,0.144
Minnesota,MN,,0.485,0.32,0.371,0.233,0.233,0.214,0.193,0.214,0.212,0.188,0.184,0.2,0.163,0.134
Mississippi,MS,Southern,0.32,0.2,0.236,0.156,0.182,0.152,0.135,0.132,0.193,0.172,0.187,0.202,0.173,0.135
Missouri,MO,,0.347,0.282,0.29,0.182,0.178,0.174,0.155,0.162,0.168,0.139,0.126,0.125,0.128,0.094
Montana,MT,,0.346,0.249,0.346,0.286,0.271,0.217,0.24,0.24,0.23,0.212,0.213,0.222,0.178,0.145
Nebraska,NE,,0.471,0.346,0.377,0.231,0.251,0.277,0.288,0.307,0.275,0.239,0.231,0.246,0.226,0.173
Nevada,NV,,0.544,0.349,0.441,0.295,0.209,0.204,0.212,0.204,0.174,0.115,0.104,0.109,0.113,0.096
New Hampshire,NH,Northeast,0.479,0.348,0.432,0.28,0.297,0.254,0.218,0.235,0.271,0.231,0.228,0.251,0.209,0.182
New Jersey,NJ,Northeast,0.434,0.304,0.377,0.247,0.268,0.235,0.211,0.214,0.243,0.21,0.243,0.239,0.198,0.167
New Mexico,NM,,0.375,0.261,0.33,0.212,0.242,0.225,0.179,0.19,0.19,0.174,0.155,0.145,0.174,0.158
New York,NY,Northeast,0.577,0.475,0.51,0.324,0.309,0.279,0.239,0.277,0.283,0.215,0.218,0.234,0.185,0.162
North Carolina,NC,Southern,0.325,0.23,0.276,0.179,0.184,0.167,0.14,0.136,0.177,0.142,0.137,0.163,0.145,0.103
North Dakota,ND,,0.524,0.401,0.453,0.356,0.372,0.315,0.297,0.323,0.353,0.339,0.299,0.276,0.26,0.217
Ohio,OH,,0.34,0.225,0.25,0.197,0.212,0.189,0.19,0.191,0.182,0.187,0.166,0.183,0.16,0.128
Oklahoma,OK,,0.406,0.297,0.304,0.213,0.228,0.213,0.221,0.245,0.259,0.22,0.182,0.188,0.185,0.128
Oregon,OR,,0.804,0.545,0.657,0.565,0.46,0.403,0.365,0.348,0.365,0.279,0.28,0.265,0.25,0.251
Pennsylvania,PA,Northeast,0.386,0.302,0.421,0.229,0.229,0.21,0.177,0.167,0.189,0.172,0.173,0.17,0.149,0.131
Rhode Island,RI,Northeast,0.433,0.279,0.372,0.257,0.301,0.254,0.2,0.196,0.237,0.203,0.196,0.212,0.168,0.135
South Carolina,SC,Southern,0.299,0.242,0.277,0.167,0.193,0.17,0.136,0.116,0.162,0.13,0.139,0.167,0.157,0.116
South Dakota,SD,,0.496,0.381,0.401,0.302,0.308,0.285,0.289,0.279,0.309,0.3,0.265,0.24,0.214,0.178
Tennessee,TN,Southern,0.373,0.267,0.281,0.194,0.198,0.177,0.151,0.147,0.182,0.165,0.161,0.17,0.165,0.102
Texas,TX,Central,0.261,0.191,0.213,0.157,0.164,0.165,0.14,0.151,0.19,0.155,0.155,0.158,0.148,0.113
Utah,UT,,0.461,0.364,0.38,0.308,0.213,0.197,0.19,0.188,0.224,0.155,0.173,0.132,0.138,0.107
Vermont,VT,Northeast,0.458,0.296,0.39,0.321,0.331,0.276,0.238,0.259,0.309,0.257,0.277,0.277,0.242,0.223
Virginia,VA,Southern,0.394,0.295,0.365,0.223,0.237,0.222,0.193,0.2,0.243,0.213,0.214,0.208,0.183,0.147
Washington,WA,,0.719,0.508,0.616,0.523,0.421,0.359,0.324,0.323,0.327,0.252,0.245,0.238,0.209,0.195
West Virginia,WV,Northeast,0.462,0.317,0.38,0.261,0.273,0.254,0.208,0.226,0.233,0.208,0.226,0.227,0.186,0.165
Wisconsin,WI,Central,0.341,0.26,0.286,0.219,0.223,0.197,0.178,0.211,0.24,0.197,0.197,0.176,0.143,0.127
Wyoming,WY,,0.452,0.34,0.421,0.339,0.299,0.241,0.236,0.262,0.279,0.248,0.262,0.24,0.2,0.178
USA,US,USA,0.431,0.308,0.353,0.248,0.24,0.218,0.198,0.204,0.222,0.187,0.181,0.184,0.168,0.134
